animal,session,day,treatment,trial,whistle_dur,AOL_across_harmonics,NL
1,1,1,3,1,0.34,158.2748561,122.0084475
1,1,1,3,1,0.66,156.0990641,141.5721812
1,1,1,3,2,1.27,156.3959185,145.9127737
1,1,1,3,3,1.18,154.740257,143.2158113
1,1,1,3,4,0.33,152.233112,142.8263095
1,1,1,3,4,0.34,162.9894843,123.1315289
1,2,1,2,5,0.48,154.4101338,146.8974028
1,2,1,2,5,0.39,149.7003321,144.1711541
1,2,1,2,6,0.36,152.1994193,138.9987169
1,2,1,2,6,0.62,157.5699962,142.3946439
1,2,1,2,7,0.85,154.5989464,118.2876781
1,2,1,2,7,0.84,154.8569499,135.3356313
1,2,1,2,7,0.51,154.7608059,119.0677526
1,2,1,2,8,0.5,153.9735151,110.9656694
1,3,1,4,9,0.28,159.4424582,129.9792955
1,3,1,4,10,1.37,157.6465298,141.4474602
1,3,1,4,10,0.94,156.2444654,133.4786749
1,3,1,4,11,1.42,155.2568,148.6129554
1,4,2,1,12,0.27,150.8392333,122.2883372
1,4,2,1,12,0.24,152.194736,106.0174203
1,4,2,1,12,0.3,150.7145323,107.305722
1,4,2,1,12,0.24,154.1463707,103.7827246
1,4,2,1,13,0.36,153.3778879,102.8519237
1,4,2,1,14,0.24,146.5998776,105.112382
1,4,2,1,14,1.14,156.0763295,115.3312547
1,4,2,1,14,0.51,152.8902422,144.2686751
1,4,2,1,15,0.54,155.0387943,117.1856335
1,4,2,1,15,0.46,151.970051,141.2734301
1,4,2,1,15,0.51,154.4285426,140.1007773
1,4,2,1,15,0.38,151.417724,101.3366725
1,4,2,1,15,0.34,152.1577396,97.66962726
1,4,2,1,15,0.32,153.1194987,138.6474083
1,4,2,1,16,1.04,153.9949793,131.1592224
1,4,2,1,17,1.57,154.9784042,138.1365064
1,4,2,1,17,1.1,153.6189643,142.2385395
1,5,2,1,18,1.24,162.0553111,130.0276044
1,5,2,1,18,0.69,154.5777176,133.8127334
1,5,2,1,18,0.53,156.4682886,136.297308
1,5,2,1,19,0.54,154.2782367,109.7370668
1,5,2,1,20,0.33,153.2117028,125.0795408
1,6,2,3,21,0.91,153.7246408,124.5455709
1,6,2,3,22,0.71,159.9461412,137.9497683
1,6,2,3,22,0.63,154.219172,144.2039122
1,6,2,3,23,0.65,154.8111481,138.4321339
1,6,2,3,24,0.25,152.8016873,124.2179563
1,6,2,3,24,0.31,150.560928,121.5318276
1,6,2,3,25,1.02,146.7058479,122.2719191
1,7,3,2,26,0.66,151.9382927,145.394028
1,7,3,2,26,1.01,146.0652765,112.9804448
1,7,3,2,27,0.78,156.9540303,114.6282725
1,7,3,2,27,1.02,157.9336456,117.7830341
1,7,3,2,27,0.72,155.2909255,126.3860969
1,7,3,2,28,1.62,156.3999384,121.020822
1,7,3,2,29,1.97,155.8324565,138.744194
1,8,3,4,30,1.08,139.8685366,148.5527148
1,8,3,4,30,1.02,153.6687043,145.5967809
1,8,3,4,30,2.92,151.9702144,126.8091576
1,8,3,4,31,0.71,157.4782704,137.1607138
1,8,3,4,31,0.8,155.2747826,133.2615291
1,8,3,4,32,0.66,158.5845557,130.2463532
1,8,3,4,32,0.62,154.2265854,126.7134418
1,8,3,4,33,0.38,154.653074,133.0910973
1,8,3,4,33,0.31,156.0508533,131.4209474
1,8,3,4,33,0.26,142.7609308,134.8873534
1,8,3,4,33,0.36,152.5579754,138.4455216
1,8,3,4,33,0.68,155.8741339,131.007471
1,8,3,4,34,0.35,155.2181406,145.2629863
1,8,3,4,34,0.36,154.8067893,132.2804406
1,9,4,3,35,0.95,149.7471527,115.047476
1,9,4,3,35,0.55,152.2376628,131.5274932
1,9,4,3,36,2.49,150.4699458,119.7904512
1,9,4,3,37,1.26,148.4544093,122.5262947
1,9,4,3,37,0.68,153.8547276,126.0463473
1,12,5,1,38,0.25,142.5098581,109.4084841
1,12,5,1,38,0.24,139.3331643,109.4076815
1,12,5,1,38,0.24,142.9188704,110.9252141
1,12,5,1,38,0.19,145.400067,107.6544338
1,12,5,1,38,0.2,148.3848014,138.1972444
1,12,5,1,38,0.27,152.7270251,133.8047407
1,12,5,1,38,0.34,153.5345157,144.1646263
1,12,5,1,39,1.69,137.781321,128.2269283
1,12,5,1,40,0.32,156.7666893,118.6913498
1,12,5,1,40,0.46,157.812039,106.3919132
1,12,5,1,40,0.21,150.2038814,107.4415916
1,13,5,2,41,0.32,150.8816306,129.5021281
1,13,5,2,41,0.59,148.2972745,119.0882142
1,13,5,2,41,1.92,149.9123036,117.9005057
1,13,5,2,42,0.31,151.7776712,118.5798319
1,13,5,2,42,0.24,140.7203785,119.1364134
1,13,5,2,42,0.25,143.9339892,118.9237623
1,13,5,2,42,0.19,137.9778169,118.0857552
1,13,5,2,42,0.24,131.1474574,110.6901572
1,13,5,2,42,0.28,138.186884,112.8280881
1,13,5,2,42,0.25,139.5503439,127.7411441
1,13,5,2,42,0.37,143.0783442,116.7472752
1,13,5,2,43,0.86,149.2657124,130.3032222
1,13,5,2,43,0.44,144.6469126,114.5114392
1,13,5,2,44,0.34,153.8665861,118.9927975
1,14,5,4,45,0.96,145.7368765,134.8137525
1,14,5,4,45,0.36,138.7357789,137.5003794
1,14,5,4,46,2.75,140.8521882,137.8199922
1,14,5,4,46,1.49,144.6479429,129.8127394
1,14,5,4,47,0.5,152.0635818,127.386179
1,14,5,4,47,0.25,151.2416585,131.0679925
1,14,5,4,48,0.43,163.4780983,141.9660371
1,15,6,4,49,0.68,155.9586898,140.5620657
1,15,6,4,49,0.16,143.5636661,125.0694732
1,15,6,4,50,2.14,152.4666034,133.2937416
1,15,6,4,51,0.33,153.2452454,124.6841429
1,15,6,4,52,2.81,156.2346949,130.1591991
1,16,6,1,53,0.54,148.4460633,138.5701678
1,16,6,1,53,2.06,148.7305406,140.2806828
1,16,6,1,53,2.06,151.113553,113.6052942
1,16,6,1,53,0.81,137.1615771,128.7775372
1,16,6,1,54,0.48,159.2254482,134.9896218
1,16,6,1,54,1.42,143.4681315,118.920646
1,16,6,1,54,0.26,148.1034421,114.9839202
1,16,6,1,55,0.5,150.8159813,140.1151854
1,17,6,3,56,0.56,149.7701923,140.9311958
1,17,6,3,57,0.52,148.8629694,102.7616235
1,17,6,3,57,0.62,150.502763,144.0582793
1,17,6,3,57,0.49,139.5052378,126.3217117
1,17,6,3,57,0.48,154.5686711,122.3599141
1,17,6,3,57,0.33,148.7420512,123.9769807
1,17,6,3,58,0.8,153.8443067,134.6803012
1,17,6,3,58,0.65,158.6262078,121.1130078
1,17,6,3,59,2.1,152.3101267,122.9803911
1,17,6,3,59,0.53,153.0362538,125.5037821
1,18,7,2,60,1.17,146.2746378,111.4749866
1,18,7,2,61,0.73,147.8769499,128.3672367
1,18,7,2,62,1.12,151.7412037,140.9992467
1,18,7,2,62,0.56,137.5430649,117.4784262
1,18,7,2,62,0.4,151.4028929,117.4932079
1,18,7,2,63,0.34,152.9743398,115.4831857
1,18,7,2,64,1.75,150.9040953,115.2644242
1,19,8,5,65,0.93,153.1179722,145.3531459
1,19,8,5,66,1.39,151.6929226,144.8780102
1,19,8,5,67,2.19,151.2697183,144.7636079
1,19,8,5,67,0.76,152.3105491,145.5061738
1,19,8,5,67,1.61,150.4811586,149.9775966
1,19,8,5,67,3.36,149.4335349,145.6002825
1,19,8,5,68,1.05,153.2057233,152.8537853
1,19,8,5,68,0.56,152.6798736,154.5223449
1,20,8,5,69,1.23,151.084138,134.9701209
1,20,8,5,69,1.16,148.7048326,142.811915
1,20,8,5,70,0.38,153.1812546,141.449993
1,20,8,5,71,0.85,145.9430982,134.4310575
1,20,8,5,72,0.74,154.2625157,142.4139781
1,20,8,5,72,0.74,148.3824937,133.7164785
1,20,8,5,73,0.35,159.7852373,136.7424681
2,1,1,3,1,0.57,148.1039491,145.0496883
2,1,1,3,1,0.13,144.5020293,136.166621
2,1,1,3,2,1.53,139.9163141,120.3707844
2,2,1,2,3,0.49,144.4842411,131.725789
2,2,1,2,4,0.56,144.8932506,139.1164232
2,2,1,2,4,0.76,143.2155811,123.8051046
2,2,1,2,5,0.38,141.451901,125.0789856
2,2,1,2,5,0.57,145.1231773,136.6437623
2,3,1,4,6,1.16,138.3397141,132.2534324
2,3,1,4,7,0.3,141.7578746,128.7672173
2,4,2,1,8,0.24,157.3653395,111.5035746
2,5,2,1,9,0.54,146.2480159,136.5353173
2,5,2,1,10,0.55,133.104003,120.2424151
2,6,2,3,11,0.15,141.1273963,127.5834703
2,6,2,3,12,0.77,139.5122067,127.411854
2,6,2,3,13,0.42,151.0293496,139.1226906
2,6,2,3,13,0.28,139.1672802,128.617981
2,6,2,3,14,0.32,139.4869296,124.2162357
2,6,2,3,14,0.26,148.4638568,129.9275798
2,6,2,3,15,0.54,141.6137799,134.7731649
2,7,3,2,16,0.35,134.1531974,110.0658116
2,7,3,2,17,0.91,139.6562707,127.0157348
2,7,3,2,18,0.49,144.5928011,134.7728723
2,7,3,2,18,0.48,144.6933249,113.1176033
2,7,3,2,18,0.56,140.7988838,134.37854
2,7,3,2,19,1.26,153.1490954,120.3523089
2,7,3,2,19,0.66,145.8454206,114.2115003
2,7,3,2,20,0.72,148.8376504,122.2151924
2,7,3,2,20,0.61,146.314747,129.0864011
2,8,3,4,21,0.93,142.1772975,137.5298871
2,8,3,4,22,0.72,147.2414927,134.0958256
2,8,3,4,23,0.36,150.8206774,133.2431927
2,9,4,3,24,0.51,148.2217556,135.4925364
2,9,4,3,25,0.72,148.759151,125.7518408
2,9,4,3,26,2.23,145.5482167,132.8744503
2,9,4,3,27,0.51,144.2464347,138.7788956
2,9,4,3,28,0.56,145.0089372,140.5669459
2,10,4,5,29,0.42,151.3243312,145.3946996
2,10,4,5,30,0.2,140.6415187,137.1074053
2,10,4,5,31,0.23,139.46,135.7618099
2,11,4,5,32,1.43,150.0612767,141.9790632
2,12,5,1,33,0.3,144.3130826,132.3029165
2,12,5,1,34,0.52,130.9066944,111.7212874
2,12,5,1,35,0.71,140.4902264,131.4232876
2,12,5,1,35,0.47,132.6357202,113.4385592
2,12,5,1,36,0.26,142.304427,126.2897754
2,13,5,2,37,0.73,139.2300991,138.7304901
2,13,5,2,37,0.29,137.8473486,116.5763157
2,13,5,2,37,0.61,140.4175364,133.1888566
2,13,5,2,38,0.8,138.3550329,117.3045378
2,13,5,2,39,0.69,142.4361516,132.9795235
2,13,5,2,40,0.3,140.2588037,115.5007699
2,14,5,4,41,0.73,136.7470942,131.4998875
2,14,5,4,42,0.63,149.1222182,141.2720233
2,14,5,4,43,0.73,136.8262837,133.2034093
2,14,5,4,44,0.62,144.8729292,136.2048017
2,14,5,4,44,0.42,144.8630922,132.941958
2,14,5,4,45,0.77,143.6607762,129.5034519
2,15,6,4,46,0.85,142.9613853,137.0981389
2,15,6,4,47,1.09,137.2855102,128.7899907
2,15,6,4,48,0.37,140.5010884,133.8458769
2,15,6,4,49,0.59,137.8935539,128.6747748
2,15,6,4,50,0.3,138.6977795,128.6580522
2,15,6,4,51,1.23,141.8937457,134.1058223
2,16,6,1,52,0.42,137.4616574,114.6361732
2,16,6,1,53,0.31,142.8713073,118.9018765
2,16,6,1,54,1.22,152.0416318,121.9135204
2,17,6,3,55,1.06,143.9067685,123.9849837
2,17,6,3,56,0.71,137.0438716,126.0520033
2,17,6,3,57,0.56,139.1191556,134.5555555
2,17,6,3,58,0.8,155.5634485,139.7584552
2,17,6,3,58,0.73,154.2501713,125.8638083
2,17,6,3,59,0.66,139.5514673,129.1335821
2,17,6,3,60,0.89,136.8916911,128.5354605
2,17,6,3,61,0.79,139.1160174,132.2631626
2,18,7,3,62,0.58,143.0410057,123.2911251
2,18,7,2,63,0.63,143.7114148,118.474638
2,18,7,2,64,0.63,140.5062479,110.9909803
2,18,7,2,64,0.65,140.5640204,107.0308138
2,18,7,2,64,0.61,144.4449913,129.7490722
2,18,7,2,64,0.5,140.5383586,131.1843928
2,18,7,2,65,0.5,143.5962799,132.3877257
2,18,7,2,66,0.28,143.106642,113.97731
2,18,7,2,67,0.58,147.3595819,114.7443858
2,18,7,2,68,0.36,138.0091477,115.6453412
2,18,7,2,68,0.47,146.7823626,113.8166911
2,18,7,2,68,0.54,146.188021,126.8815753
2,18,7,2,69,0.53,140.8236061,135.1472473
2,18,7,2,70,0.2,140.3191895,130.7342666
2,19,8,5,71,0.87,143.0043736,143.0615021
2,19,8,5,72,0.76,147.9335209,152.479926
2,19,8,5,73,0.89,143.8034516,141.910721
2,20,8,5,74,0.96,145.2043529,138.8262035
2,20,8,5,74,0.74,145.5953641,144.173418
2,20,8,5,75,1.82,139.4977821,151.7984604
2,20,8,5,76,0.62,147.6257804,145.6710592
2,20,8,5,77,0.75,149.5798945,138.4996169
2,20,8,5,78,1.27,145.8875687,134.6477498
2,20,8,5,78,0.71,154.7886768,133.998046
2,20,8,5,78,1.18,147.8209403,142.8193861
2,20,8,5,78,0.47,145.0422338,140.2645411
